HOUR_PERIOD,HOUR_NUMBER,INDICATOR_ID,INDICATOR_NAME,DESCRIPTION,VALUE,PRESSURE_LEVEL,TIMESTAMP,SOURCE_SYSTEM,SNAPSHOT_DATE
06:00-07:00,6,IND-001,Urgent-care demand,Synthetic demand index,64,2,2026-08-18T06:20:00,SYNTHETIC,2026-08-18
07:00-08:00,7,IND-001,Urgent-care demand,Synthetic demand index,68,2,2026-08-18T07:20:00,SYNTHETIC,2026-08-18
08:00-09:00,8,IND-001,Urgent-care demand,Synthetic demand index,70,3,2026-08-18T08:05:00,SYNTHETIC,2026-08-18
08:00-09:00,8,IND-001,Urgent-care demand,Synthetic demand index,72,3,2026-08-18T08:22:00,SYNTHETIC,2026-08-18
08:00-09:00,8,IND-001,Urgent-care demand,Synthetic demand index,74,3,2026-08-18T08:48:00,SYNTHETIC,2026-08-18
09:00-10:00,9,IND-001,Urgent-care demand,Synthetic demand index,76,3,2026-08-18T09:20:00,SYNTHETIC,2026-08-18
06:00-07:00,6,IND-002,Community capacity available,Synthetic available capacity,23,,2026-08-18T06:10:00,SYNTHETIC,2026-08-18
07:00-08:00,7,IND-002,Community capacity available,Synthetic available capacity,22,,2026-08-18T07:10:00,SYNTHETIC,2026-08-18
08:00-09:00,8,IND-002,Community capacity available,Synthetic available capacity,22,,2026-08-18T08:10:00,SYNTHETIC,2026-08-18
09:00-10:00,9,IND-002,Community capacity available,Synthetic available capacity,21,,2026-08-18T09:10:00,SYNTHETIC,2026-08-18
10:00-11:00,10,,,,,,,SYNTHETIC,2026-08-18
